date,cash,market_value,equity
2024-08-02,98526.43372088566,2314489.701412201,2413016.1351330867
2024-08-05,98526.43372088566,2292671.7195892334,2391198.153310119
2024-08-06,98526.43372088566,2280779.3249206543,2379305.75864154
2024-08-07,98526.43372088566,2377611.79637146,2476138.2300923457
2024-08-08,98526.43372088566,2353525.6057243347,2452052.0394452205
2024-08-09,98526.43372088566,2352093.5569000244,2450619.99062091
2024-08-12,98526.43372088566,2386439.4883346558,2484965.9220555415
2024-08-13,98526.43372088566,2346210.3685073853,2444736.802228271
2024-08-14,98526.43372088566,2339776.687133789,2438303.120854675
2024-08-15,98526.43372088566,2356779.3298339844,2455305.76355487
2024-08-16,98526.43372088566,2361902.2857170105,2460428.7194378963
2024-08-19,98526.43372088566,2388617.568626404,2487144.0023472896
2024-08-20,98526.43372088566,2365921.896713257,2464448.3304341426
2024-08-21,98526.43372088566,2334755.4566497803,2433281.890370666
2024-08-22,98526.43372088566,2305660.221168518,2404186.654889404
2024-08-23,98526.43372088566,2304250.784412384,2402777.21813327
2024-08-26,98526.43372088566,2331222.401927948,2429748.835648834
2024-08-27,51.17002854705788,2526512.6657600403,2526563.835788587
2024-08-28,51.17002854705788,2602331.681415558,2602382.8514441047
2024-08-29,51.17002854705788,2607356.941635132,2607408.1116636787
2024-08-30,51.17002854705788,2547206.9886016846,2547258.1586302314
2024-09-02,51.17002854705788,2502447.991832733,2502499.16186128
2024-09-03,51.17002854705788,2594777.574108124,2594828.7441366706
2024-09-04,2606660.451022079,0.0,2606660.451022079
2024-09-05,1566009.1868914897,1029229.9354476929,2595239.1223391825
2024-09-06,1566009.1868914897,1090823.7932357788,2656832.9801272685
2024-09-09,2625555.931852228,0.0,2625555.931852228
2024-09-10,2625555.931852228,0.0,2625555.931852228
2024-09-11,2625555.931852228,0.0,2625555.931852228
2024-09-12,1056136.3542017513,1546951.6680221558,2603088.022223907
2024-09-13,1056136.3542017513,1541640.6311950684,2597776.9853968197
2024-09-16,1056136.3542017513,1531769.9793395996,2587906.333541351
2024-09-18,1056136.3542017513,1539339.4940490723,2595475.8482508236
2024-09-19,1056136.3542017513,1570197.024230957,2626333.3784327083
2024-09-20,532879.3904544208,2080053.421295166,2612932.811749587
2024-09-23,532879.3904544208,2066488.2101593018,2599367.6006137226
2024-09-24,532879.3904544208,2083657.5368728638,2616536.9273272846
